2018:06:04 10:41:41.311 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/toma/review/{p_code}],methods=[GET]}" onto public java.util.List<shop.son.review.model.Review> shop.son.review.controller.ReviewController.listAllReviews(java.lang.String) throws shop.son.review.exception.ReviewNotFoundException 
2018:06:04 10:41:41.314 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2018:06:04 10:41:41.315 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2018:06:04 10:41:41.354 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:06:04 10:41:41.354 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:06:04 10:41:41.768 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2018:06:04 10:41:41.772 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Bean with name 'dataSource' has been autodetected for JMX exposure 
2018:06:04 10:41:41.780 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource] 
2018:06:04 10:41:41.829 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2018:06:04 10:41:41.844 INFO  --- [main] shop.ShoppingMallApiApplication : Started ShoppingMallApiApplication in 6.803 seconds (JVM running for 8.175) 
2018:06:04 10:42:19.379 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring FrameworkServlet 'dispatcherServlet' 
2018:06:04 10:42:19.392 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization started 
2018:06:04 10:42:19.424 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization completed in 32 ms 
2018:06:04 10:42:19.556 INFO  --- [http-nio-8080-exec-1] shop.park.MainController : Select All Qna 
2018:06:04 10:42:19.656 INFO  --- [http-nio-8080-exec-1] jdbc.resultsettable : 
|-----|-----|-------|------------|---------------|-----------|---------|------------|--------|---------|--------|----------|-----------|
|u_id |u_pw |u_name |u_phone     |u_addr1        |u_addr2    |u_addr3  |u_addrcheck |u_birth |u_gender |u_smsyn |u_emailyn |u_joindate |
|-----|-----|-------|------------|---------------|-----------|---------|------------|--------|---------|--------|----------|-----------|
|csc  |1234 |홍길동    |01038889888 |경기 광명 금천동 12-1 |경기 금천구 사당동 |경기도 고양시  |1           |900109  |f        |y       |y         |2018-06-03 |
|-----|-----|-------|------------|---------------|-----------|---------|------------|--------|---------|--------|----------|-----------|
 
2018:06:04 10:42:19.680 INFO  --- [http-nio-8080-exec-1] jdbc.resultsettable : 
|-----|------------|-------------------------------------------------|-----|--------|----------------------|
|q_no |q_title     |q_content                                        |u_id |q_reply |q_date                |
|-----|------------|-------------------------------------------------|-----|--------|----------------------|
|1    |이거 환불도 되나요? |얼마전에 하이트맥주를 샀는데 한번도 안따서(포장지도 미개봉) 환불할려고 하는데 되나요? |csc  |n       |2018-06-03 00:00:00.0 |
|-----|------------|-------------------------------------------------|-----|--------|----------------------|
 
2018:06:04 10:49:54.015 INFO  --- [RMI TCP Connection(17)-127.0.0.1] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested. 
2018:06:04 10:49:54.024 INFO  --- [RMI TCP Connection(17)-127.0.0.1] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@54a67a45: startup date [Mon Jun 04 10:41:35 KST 2018]; root of context hierarchy 
2018:06:04 10:49:54.029 INFO  --- [RMI TCP Connection(17)-127.0.0.1] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
2018:06:04 10:49:54.040 INFO  --- [RMI TCP Connection(17)-127.0.0.1] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans 
2018:06:04 10:49:54.043 INFO  --- [RMI TCP Connection(17)-127.0.0.1] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default' 
2018:06:04 10:49:54.044 INFO  --- [RMI TCP Connection(17)-127.0.0.1] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated... 
2018:06:04 10:49:58.793 INFO  --- [RMI TCP Connection(17)-127.0.0.1] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed. 
2018:06:04 12:23:06.363 INFO  --- [main] shop.ShoppingMallApiApplication : Starting ShoppingMallApiApplication on MSDN-SPECIAL with PID 3952 (C:\project\ShoppingMallAPI\target\classes started by Administrator in C:\project\ShoppingMallAPI) 
2018:06:04 12:23:06.366 INFO  --- [main] shop.ShoppingMallApiApplication : No active profile set, falling back to default profiles: default 
2018:06:04 12:23:06.400 INFO  --- [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@32eff876: startup date [Mon Jun 04 12:23:06 KST 2018]; root of context hierarchy 
2018:06:04 12:23:07.339 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9a6cca1f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018:06:04 12:23:07.594 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2018:06:04 12:23:07.611 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2018:06:04 12:23:07.612 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.31 
2018:06:04 12:23:07.616 INFO  --- [localhost-startStop-1] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_171\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Program Files/Java/jre1.8.0_171/bin/server;C:/Program Files/Java/jre1.8.0_171/bin;C:/Program Files/Java/jre1.8.0_171/lib/amd64;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\app\Administrator\product\11.2.0\client_1\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Git\cmd;C:\Users\Administrator\AppData\Local\GitHubDesktop\bin;C:\sts-bundle\sts-3.9.4.RELEASE;;.] 
2018:06:04 12:23:07.698 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2018:06:04 12:23:07.699 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1299 ms 
2018:06:04 12:23:07.812 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Servlet dispatcherServlet mapped to [/] 
2018:06:04 12:23:07.815 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2018:06:04 12:23:07.816 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2018:06:04 12:23:07.816 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2018:06:04 12:23:07.816 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*] 
2018:06:04 12:23:07.983 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2018:06:04 12:23:08.189 INFO  --- [main] com.zaxxer.hikari.pool.PoolBase : HikariPool-1 - Driver does not support get/set network timeout for connections. (oracle.jdbc.driver.T4CConnection.getNetworkTimeout()I) 
2018:06:04 12:23:08.194 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2018:06:04 12:23:08.242 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default' 
2018:06:04 12:23:08.254 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2018:06:04 12:23:08.348 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate Core {5.2.10.Final} 
2018:06:04 12:23:08.350 INFO  --- [main] org.hibernate.cfg.Environment : HHH000206: hibernate.properties not found 
2018:06:04 12:23:08.390 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.0.1.Final} 
2018:06:04 12:23:08.607 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.Oracle12cDialect 
2018:06:04 12:23:08.712 INFO  --- [main] o.hibernate.type.BasicTypeRegistry : HHH000270: Type registration [byte[]] overrides previous : org.hibernate.type.BinaryType@7fc7c4a 
2018:06:04 12:23:08.712 INFO  --- [main] o.hibernate.type.BasicTypeRegistry : HHH000270: Type registration [[B] overrides previous : org.hibernate.type.BinaryType@7fc7c4a 
2018:06:04 12:23:08.713 INFO  --- [main] o.hibernate.type.BasicTypeRegistry : HHH000270: Type registration [Byte[]] overrides previous : org.hibernate.type.WrapperBinaryType@624a24f6 
2018:06:04 12:23:08.713 INFO  --- [main] o.hibernate.type.BasicTypeRegistry : HHH000270: Type registration [[Ljava.lang.Byte;] overrides previous : org.hibernate.type.WrapperBinaryType@624a24f6 
2018:06:04 12:23:08.861 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2018:06:04 12:23:09.206 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:06:04 12:23:09.440 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@32eff876: startup date [Mon Jun 04 12:23:06 KST 2018]; root of context hierarchy 
2018:06:04 12:23:09.471 WARN  --- [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2018:06:04 12:23:09.512 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/toma/login/],methods=[POST]}" onto public int shop.kim.login.LoginController.login(shop.kim.login.model.Values) 
